Question,Answer
"How is payment processed, and in what currencies?","Compensation is typically paid via bank transfer. We can process payments in multiple currencies including EUR, GBP, USD, and others depending on your location."
"How can I check the status of my claim?","You can check your claim status by logging into your account on our website or by contacting our customer support team directly via email or phone."
"How does Click2Refund protect my information?","We use industry-standard encryption and data protection measures. Your personal information is handled in compliance with GDPR and is never shared with third parties without your consent."
"Under what conditions would an application be voided?","An application may be voided if false information is provided, if you settle directly with the airline without informing us, or if you engage another claims company for the same case simultaneously."
"What are my options to terminate service with Click2Refund if necessary?","You can terminate our service at any time by contacting us in writing. However, if we have already invested significant work or initiated legal proceedings, a cancellation fee may apply as outlined in our terms."
"Can two claim companies work on my case at the same time?","No. Only one claims company can represent you for a specific case. If you are already working with another company, you must terminate that agreement before engaging Click2Refund."
"Can documentation be emailed, or do I need to mail it?","All documentation can be submitted electronically via email or through our website's upload feature. There is no need to send physical copies by mail."
"What is a booking reference number, and how do I find it?","A booking reference (also called PNR or confirmation code) is a 6-character alphanumeric code assigned to your reservation. You can find it on your booking confirmation email, e-ticket, or boarding pass."
"What is an e-ticket number, and how do I find it?","An e-ticket number is a 13-digit number that serves as your electronic airline ticket. It can be found on your booking confirmation email, e-ticket receipt, or airline account."
"I've lost my airline ticket. Can I start the claim process without it?","Yes. While having your ticket helps, we can usually proceed with other information such as your booking reference, flight details, and any email confirmations you may have."
"How do I include a larger travel group in one claim?","You can add multiple passengers to a single claim by providing each person's details during the submission process. Each passenger in the group may be entitled to individual compensation."
"What should I do if the airline contacts me about my claim?","If the airline contacts you directly about your claim, please forward all communication to us and do not accept any offers or sign any documents without consulting us first."
"If the airline doesn't pay a legitimate claim, what happens next?","If the airline refuses to pay, we can escalate the case to legal proceedings. Our legal team will represent you in court at no additional cost under our no-win, no-fee policy."
"Do I have to cover legal expenses if my claim loses in court?","No. Under our no-win, no-fee policy, you are not responsible for legal costs if the case is unsuccessful. We bear all the financial risk of legal proceedings."
"How will I receive my compensation?","Compensation is paid directly to your bank account via bank transfer once the airline settles the claim. We deduct our success fee and transfer the remaining amount to you."
"Who regulates flight compensation?","Flight compensation in the EU is regulated by EC Regulation 261/2004. Similar regulations exist in the UK (UK261), Turkey, Brazil, Canada, and other jurisdictions. National enforcement bodies oversee compliance."
"What are the flight delay compensation laws in different regions?","EU: EC 261/2004 covers delays of 3+ hours. UK: UK261 mirrors EU rules. US: No federal compensation law for delays. Canada: APPR provides up to CAD 1,000. Brazil: ANAC Resolution 400 covers delays of 4+ hours."
"Do flight compensation protections apply to non-citizens?","Yes. Flight compensation laws like EC 261/2004 apply based on the flight's departure/arrival location, not the passenger's nationality. Anyone on a qualifying flight is eligible."
"Do flight compensation laws cover lost or damaged luggage?","Flight compensation regulations like EC 261 primarily cover delays, cancellations, and denied boarding. Lost or damaged luggage claims fall under the Montreal Convention, which provides separate protections up to approximately €1,300."
"What are the statutes of limitations for various regions?","Statutes vary: UK – 6 years, France – 5 years, Germany – 3 years, Spain – 5 years, Italy – 2 years, Netherlands – 2 years, Belgium – 1 year. Check your specific country's rules."
"What if the airline disputes my legal claim to compensation?","Our legal team will review the airline's arguments and build a strong counter-case. We have extensive experience in challenging airline defenses and a high win rate in court."
"What extraordinary circumstances exempt airlines from compensation?","Extraordinary circumstances include severe weather, volcanic eruptions, bird strikes, air traffic control restrictions, political instability, security threats, and hidden manufacturing defects not attributable to normal wear."
"Do airline worker strikes or technical problems affect airline liability?","Internal airline strikes and most technical problems are NOT considered extraordinary circumstances, so airlines remain liable for compensation. External events like ATC strikes may exempt them."
"What if an airline offers vouchers as compensation?","You are not obligated to accept vouchers. Under EC 261/2004, you have the right to cash compensation. We recommend contacting us before accepting any airline offer to ensure you receive your full entitlement."
"Are there conditions that allow airlines to reduce compensation?","Airlines may reduce compensation by 50% if they offer re-routing that arrives within a certain timeframe of the original schedule (1–4 hours depending on flight distance)."
"Can I make a claim for a flight that was part of a vacation package?","Yes. If your vacation package included a flight that was disrupted, you may be entitled to compensation under flight regulations, regardless of how the flight was booked."
"Do I qualify for compensation if I booked through a travel agency?","Yes. Your right to compensation is based on the flight itself, not how it was booked. Whether you booked directly, through a travel agent, or via a third-party website, you are still eligible."
"What if the flight delay was on a connecting flight with multiple carriers?","If your itinerary was booked as a single reservation, the operating airline of the disrupted segment is responsible. If booked separately, each segment is treated independently."
"Are codeshare flights eligible for compensation?","Yes. Compensation claims for codeshare flights should be directed at the operating carrier (the airline actually flying the plane), not the marketing carrier that sold the ticket."
"If someone else paid for my ticket, can I still claim compensation?","Yes. The right to compensation belongs to the passenger, regardless of who paid for the ticket. You can claim compensation in your own name."
"What options do I have if rerouted on a later flight?","If you are rerouted and arrive at your destination 3+ hours later than originally scheduled, you are still entitled to compensation. You should also receive care (meals, accommodation) during the wait."
"Can I make a claim on behalf of traveling children?","Yes. Children, including infants, are entitled to compensation if they had their own seat and ticket. A parent or legal guardian can submit the claim on their behalf."
"Are others in my travel group eligible to claim compensation too?","Yes. Each passenger with a confirmed ticket on the disrupted flight is individually entitled to compensation, regardless of whether they are part of a travel group."
